filepath,caption
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0004_795921.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0004_795921.jpg,this is a Parakeet Auklet that has solid back pattern and has cone bill shape and has white belly color and has multi-colored breast pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0004_795921.jpg,a close-up of Parakeet Auklet showing black nape color and has black underparts color and has white throat color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0017_795924.jpg,a photo of a Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0017_795924.jpg,a photo of Parakeet Auklet with black under tail color and has black nape color and has black throat color and has solid wing pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0017_795924.jpg,an image of the bird species Parakeet Auklet with medium_(9_-_16_in) size and has black back color and has solid wing pattern and has black crown color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0027_795925.jpg,an image of the bird species Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0027_795925.jpg,a close-up of Parakeet Auklet showing solid back pattern and has solid belly pattern and has black primary color and has pigeon-like shape and has white eye color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0027_795925.jpg,a wild Parakeet Auklet featuring red bill color and has black upperparts color and has grey leg color and has black wing color and has pigeon-like shape and has grey primary color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0056_795926.jpg,this is an Parakeet Auklet.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0056_795926.jpg,a photo of Parakeet Auklet with white eye color and has multi-colored breast pattern and has solid back pattern.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0056_795926.jpg,an image of the bird species Parakeet Auklet with black throat color and has white breast color and has red bill color and has multi-colored breast pattern and has black forehead color.
CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0012_795927.jpg,an image of the bird species Parakeet Auklet.
